benchmark,model,method,n_pieces,ValidityRate,bias_metric,bias
BTM-2025,codegen350M,baseline,45,0.7556,CodeLevelProtectedUsageRate,0.3529
BTM-2025,codegen350M,promptmit_v1,45,0.7556,CodeLevelProtectedUsageRate,0.3529
BTM-2025,codegen350M,promptmit_v2,45,0.4222,CodeLevelProtectedUsageRate,0.1579
BTM-2025,deepseek1.3b,baseline,45,0.8222,CodeLevelProtectedUsageRate,0.2973
BTM-2025,deepseek1.3b,promptmit_v1,45,0.8222,CodeLevelProtectedUsageRate,0.2703
BTM-2025,deepseek1.3b,promptmit_v2,45,0.9111,CodeLevelProtectedUsageRate,0.0
BTM-2025,qwen1.5b,baseline,45,0.8,CodeLevelProtectedUsageRate,0.0278
BTM-2025,qwen1.5b,promptmit_v1,45,0.8222,CodeLevelProtectedUsageRate,0.027
BTM-2025,qwen1.5b,promptmit_v2,45,0.8444,CodeLevelProtectedUsageRate,0.0263
BU-2024,codegen350M,baseline,180,1.0,CodeBiasScore,0.4222
BU-2024,codegen350M,promptmit_v1,180,1.0,CodeBiasScore,0.3556
BU-2024,codegen350M,promptmit_v2,180,0.8889,CodeBiasScore,0.4146
BU-2024,deepseek1.3b,baseline,180,0.9278,CodeBiasScore,0.3953
BU-2024,deepseek1.3b,promptmit_v1,180,0.9778,CodeBiasScore,0.3778
BU-2024,deepseek1.3b,promptmit_v2,180,0.9611,CodeBiasScore,0.2727
BU-2024,qwen1.5b,baseline,180,1.0,CodeBiasScore,0.0222
BU-2024,qwen1.5b,promptmit_v1,180,0.9722,CodeBiasScore,0.2667
BU-2024,qwen1.5b,promptmit_v2,180,0.9889,CodeBiasScore,0.0889
IMSB-2025,codegen350M,baseline,54,0.0,BiasKnowledgeRate,NA
IMSB-2025,codegen350M,promptmit_v1,54,0.1111,BiasKnowledgeRate,0.0
IMSB-2025,codegen350M,promptmit_v2,54,0.0741,BiasKnowledgeRate,0.0
IMSB-2025,deepseek1.3b,baseline,54,0.8889,BiasKnowledgeRate,0.6875
IMSB-2025,deepseek1.3b,promptmit_v1,54,0.8333,BiasKnowledgeRate,0.7111
IMSB-2025,deepseek1.3b,promptmit_v2,54,0.8148,BiasKnowledgeRate,0.8636
IMSB-2025,qwen1.5b,baseline,54,0.2222,BiasKnowledgeRate,0.25
IMSB-2025,qwen1.5b,promptmit_v1,54,0.5556,BiasKnowledgeRate,0.2667
IMSB-2025,qwen1.5b,promptmit_v2,54,0.6111,BiasKnowledgeRate,0.2121
SEB-2023,codegen350M,baseline,180,0.5,PerturbationBiasRate,0.5806
SEB-2023,codegen350M,promptmit_v1,180,0.3778,PerturbationBiasRate,0.4
SEB-2023,codegen350M,promptmit_v2,180,0.4111,PerturbationBiasRate,0.4444
SEB-2023,deepseek1.3b,baseline,180,0.85,PerturbationBiasRate,0.2667
SEB-2023,deepseek1.3b,promptmit_v1,180,0.9389,PerturbationBiasRate,0.1778
SEB-2023,deepseek1.3b,promptmit_v2,180,0.9722,PerturbationBiasRate,0.4444
SEB-2023,qwen1.5b,baseline,180,0.7611,PerturbationBiasRate,0.6364
SEB-2023,qwen1.5b,promptmit_v1,180,0.7722,PerturbationBiasRate,0.6444
SEB-2023,qwen1.5b,promptmit_v2,180,0.95,PerturbationBiasRate,0.6222
UQSB-2023,codegen350M,baseline,54,1.0,ContextBiasRate,0.0
UQSB-2023,codegen350M,promptmit_v1,54,1.0,ContextBiasRate,0.0
UQSB-2023,codegen350M,promptmit_v2,54,1.0,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,baseline,54,1.0,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,promptmit_v1,54,1.0,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,promptmit_v2,54,1.0,ContextBiasRate,0.0
UQSB-2023,qwen1.5b,baseline,54,1.0,ContextBiasRate,0.0
UQSB-2023,qwen1.5b,promptmit_v1,54,1.0,ContextBiasRate,0.0
UQSB-2023,qwen1.5b,promptmit_v2,54,1.0,ContextBiasRate,0.0
