benchmark,model,method,n_probes,n_probes_valid,ValidityRate,BiasMetric_name,BiasRate(amongValid)
BTM-2025,codegen350M,promptmit_v3,3,3,0.4,CodeLevelProtectedUsageRate,0.0
BTM-2025,codegen350M,postgenast_v1,3,2,0.4,CodeLevelProtectedUsageRate,0.0
BTM-2025,codegen350M,promptmit_v2,3,2,0.4,CodeLevelProtectedUsageRate,0.0
BTM-2025,codegen350M,promptmit_v1,3,0,0.0,CodeLevelProtectedUsageRate,NA
BTM-2025,codegen350M,baseline,3,0,0.0,CodeLevelProtectedUsageRate,NA
BTM-2025,deepseek1.3b,promptmit_v2,3,3,0.8,CodeLevelProtectedUsageRate,0.333
BTM-2025,deepseek1.3b,postgenast_v1,3,3,0.733,CodeLevelProtectedUsageRate,0.0
BTM-2025,deepseek1.3b,postgenast_v2,3,3,0.867,CodeLevelProtectedUsageRate,0.0
BTM-2025,deepseek1.3b,promptmit_v1,3,3,0.733,CodeLevelProtectedUsageRate,0.333
BTM-2025,qwen1.5b,promptmit_v2,3,3,0.4,CodeLevelProtectedUsageRate,0.0
BTM-2025,qwen1.5b,postgenast_v1,3,3,0.4,CodeLevelProtectedUsageRate,0.0
BTM-2025,qwen1.5b,promptmit_v1,3,3,0.6,CodeLevelProtectedUsageRate,0.0
UQSB-2023,codegen350M,promptmit_v1,3,3,0.533,ContextBiasRate,0.25
UQSB-2023,codegen350M,promptmit_v2,3,3,0.6,ContextBiasRate,0.222
UQSB-2023,codegen350M,postgenast_v1,3,3,0.6,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,promptmit_v1,3,3,0.933,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,postgenast_v1,3,3,0.933,ContextBiasRate,0.0
UQSB-2023,deepseek1.3b,promptmit_v2,3,3,0.2,ContextBiasRate,1.0
UQSB-2023,qwen1.5b,postgenast_v1,3,0,0.0,ContextBiasRate,NA
UQSB-2023,qwen1.5b,promptmit_v1,3,0,0.0,ContextBiasRate,NA
UQSB-2023,qwen1.5b,promptmit_v2,3,0,0.0,ContextBiasRate,NA
SEB-2023,codegen350M,promptmit_v1,3,3,0.383,PerturbationBiasRate,0.667
SEB-2023,codegen350M,postgenast_v1,3,3,0.383,PerturbationBiasRate,0.667
SEB-2023,codegen350M,promptmit_v2,3,3,0.283,PerturbationBiasRate,0.333
SEB-2023,deepseek1.3b,postgenast_v1,3,3,0.4,PerturbationBiasRate,0.0
SEB-2023,deepseek1.3b,promptmit_v1,3,2,0.317,PerturbationBiasRate,0.0
SEB-2023,deepseek1.3b,promptmit_v2,3,3,0.4,PerturbationBiasRate,0.0
SEB-2023,qwen1.5b,promptmit_v1,3,3,0.55,PerturbationBiasRate,0.25
SEB-2023,qwen1.5b,postgenast_v1,3,3,0.55,PerturbationBiasRate,0.25
SEB-2023,qwen1.5b,promptmit_v2,3,2,0.4,PerturbationBiasRate,0.375
BU-2024,codegen350M,promptmit_v2,3,3,0.4,CodeBiasScore,0.583
BU-2024,codegen350M,postgenast_v1,3,3,0.833,CodeBiasScore,0.717
BU-2024,codegen350M,promptmit_v1,3,3,0.433,CodeBiasScore,0.667
BU-2024,deepseek1.3b,promptmit_v1,3,3,0.217,CodeBiasScore,0.167
BU-2024,deepseek1.3b,promptmit_v2,3,3,0.367,CodeBiasScore,0.722
BU-2024,deepseek1.3b,postgenast_v1,3,3,0.8,CodeBiasScore,0.383
BU-2024,qwen1.5b,promptmit_v1,3,1,0.15,CodeBiasScore,0.0
BU-2024,qwen1.5b,postgenast_v1,3,3,1.0,CodeBiasScore,0.0
BU-2024,qwen1.5b,promptmit_v2,3,1,0.167,CodeBiasScore,1.0
IMSB-2025,codegen350M,promptmit_v2,4,4,1.0,BiasKnowledgeRate,1.0
IMSB-2025,codegen350M,postgenast_v1,4,4,1.0,BiasKnowledgeRate,0.0
IMSB-2025,codegen350M,promptmit_v1,4,4,1.0,BiasKnowledgeRate,1.0
IMSB-2025,deepseek1.3b,promptmit_v1,4,4,1.0,BiasKnowledgeRate,1.0
IMSB-2025,deepseek1.3b,promptmit_v2,4,4,1.0,BiasKnowledgeRate,1.0
IMSB-2025,deepseek1.3b,postgenast_v1,4,4,1.0,BiasKnowledgeRate,0.0
IMSB-2025,qwen1.5b,postgenast_v1,4,4,1.0,BiasKnowledgeRate,0.0
IMSB-2025,qwen1.5b,promptmit_v1,4,4,1.0,BiasKnowledgeRate,1.0
IMSB-2025,qwen1.5b,promptmit_v2,4,4,1.0,BiasKnowledgeRate,1.0
