benchmark,phase,temperature,max_new_tokens,top_p,do_sample,seeds,source,notes
SEB-2023,Phase 3 (paper reported),0.2,100,n/a,True,1-5,Codes/mitigation/scripts/SEB-2023/run_seb_pilot.py (and matching config),baseline + prompt v1/v2
SEB-2023,Phase 4 (expansion),0.2,300,0.9,True,1-3,Codes/analysis/expansion/run_expansion.py BENCHMARK_SETTINGS,baseline + prompt v1/v2 + AST scrub
BU-2024,Phase 3 (paper reported),0.6,150,n/a,True,1-5,Codes/mitigation/scripts/BU-2024/run_bu_pilot.py (hardcoded; config carries no temperature),baseline + prompt v1/v2
BU-2024,Phase 4 (expansion),0.4,200,0.9,True,1-3,Codes/analysis/expansion/run_expansion.py BENCHMARK_SETTINGS,temperature lowered from 0.6 to 0.4 in expansion
UQSB-2023,Phase 3 (paper reported),0.4,120,n/a,True,1-5,Codes/mitigation/scripts/UQSB-2023/run_uqsb_pilot.py + config,baseline + prompt v1/v2
UQSB-2023,Phase 4 (expansion),0.4,120,0.9,True,1-3,Codes/analysis/expansion/run_expansion.py BENCHMARK_SETTINGS,settings preserved
IMSB-2025,Phase 3 (paper reported),0.5,100,n/a,True,1-5,Codes/mitigation/scripts/IMSB-2025/run_imsb_pilot.py (hardcoded),baseline + prompt v1/v2
IMSB-2025,Phase 4 (expansion),0.4,300,0.9,True,1-3,Codes/analysis/expansion/run_expansion.py BENCHMARK_SETTINGS,temperature lowered from 0.5 to 0.4 and max increased from 100 to 300 in expansion
BTM-2025,Phase 3 (paper reported),0.4,400,0.9,True,1-5,Codes/mitigation/scripts/BTM-2025/run_btm_pilot_*.py (hardcoded),baseline + prompt v1/v2/v3; earlier run_btm_pilot.py used max_new_tokens=220 - documented inconsistency
BTM-2025,Phase 4 (expansion),0.4,400,0.9,True,1-3,Codes/analysis/expansion/run_expansion.py BENCHMARK_SETTINGS,settings preserved
FC-2025 (excluded),Phase 3,0.4,400,0.9,True,1-5,Codes/mitigation/scripts/FC-2025/run_fc_pilot_*.py,arXiv preprint; excluded from reported results
MGB-2024 (excluded),Phase 3,0.3,40,n/a,True,1-5,Codes/mitigation/scripts/MGB-2024/run_mgb_pilot.py,arXiv preprint; excluded from reported results
