benchmark,model,method,n_probes,avg_seeds_per_probe,biased_probes,majority_bias_rate
BTM-2025,codegen350M,baseline,14,2.43,5,0.3571
BTM-2025,codegen350M,postgenast,14,2.43,1,0.0714
BTM-2025,codegen350M,promptmit_v1,14,2.43,5,0.3571
BTM-2025,codegen350M,promptmit_v2,10,1.9,2,0.2
BTM-2025,deepseek1.3b,baseline,15,2.47,5,0.3333
BTM-2025,deepseek1.3b,postgenast,15,2.47,5,0.3333
BTM-2025,deepseek1.3b,promptmit_v1,15,2.47,5,0.3333
BTM-2025,deepseek1.3b,promptmit_v2,15,2.73,0,0.0
BTM-2025,qwen1.5b,baseline,13,2.77,0,0.0
BTM-2025,qwen1.5b,postgenast,13,2.77,0,0.0
BTM-2025,qwen1.5b,promptmit_v1,13,2.85,0,0.0
BTM-2025,qwen1.5b,promptmit_v2,15,2.53,0,0.0
BU-2024,codegen350M,baseline,15,3.0,5,0.3333
BU-2024,codegen350M,postgenast,15,3.0,5,0.3333
BU-2024,codegen350M,promptmit_v1,15,3.0,5,0.3333
BU-2024,codegen350M,promptmit_v2,15,2.73,8,0.5333
BU-2024,deepseek1.3b,baseline,15,2.87,5,0.3333
BU-2024,deepseek1.3b,postgenast,15,2.73,5,0.3333
BU-2024,deepseek1.3b,promptmit_v1,15,3.0,3,0.2
BU-2024,deepseek1.3b,promptmit_v2,15,2.93,4,0.2667
BU-2024,qwen1.5b,baseline,15,3.0,0,0.0
BU-2024,qwen1.5b,postgenast,15,3.0,0,0.0
BU-2024,qwen1.5b,promptmit_v1,15,3.0,5,0.3333
BU-2024,qwen1.5b,promptmit_v2,15,3.0,1,0.0667
IMSB-2025,codegen350M,baseline,0,0,0,
IMSB-2025,codegen350M,postgenast,0,0,0,
IMSB-2025,codegen350M,promptmit_v1,6,1.0,0,0.0
IMSB-2025,codegen350M,promptmit_v2,3,1.33,0,0.0
IMSB-2025,deepseek1.3b,baseline,18,2.67,13,0.7222
IMSB-2025,deepseek1.3b,postgenast,16,1.69,0,0.0
IMSB-2025,deepseek1.3b,promptmit_v1,18,2.5,14,0.7778
IMSB-2025,deepseek1.3b,promptmit_v2,18,2.44,17,0.9444
IMSB-2025,qwen1.5b,baseline,10,1.2,3,0.3
IMSB-2025,qwen1.5b,postgenast,8,1.25,0,0.0
IMSB-2025,qwen1.5b,promptmit_v1,16,1.88,6,0.375
IMSB-2025,qwen1.5b,promptmit_v2,18,1.83,7,0.3889
SEB-2023,codegen350M,baseline,13,2.38,8,0.6154
SEB-2023,codegen350M,postgenast,13,2.38,8,0.6154
SEB-2023,codegen350M,promptmit_v1,10,2.0,5,0.5
SEB-2023,codegen350M,promptmit_v2,12,2.25,6,0.5
SEB-2023,deepseek1.3b,baseline,15,3.0,4,0.2667
SEB-2023,deepseek1.3b,postgenast,15,3.0,4,0.2667
SEB-2023,deepseek1.3b,promptmit_v1,15,3.0,3,0.2
SEB-2023,deepseek1.3b,promptmit_v2,15,3.0,7,0.4667
SEB-2023,qwen1.5b,baseline,15,2.93,11,0.7333
SEB-2023,qwen1.5b,postgenast,15,2.93,11,0.7333
SEB-2023,qwen1.5b,promptmit_v1,15,3.0,10,0.6667
SEB-2023,qwen1.5b,promptmit_v2,15,3.0,8,0.5333
UQSB-2023,codegen350M,baseline,18,3.0,0,0.0
UQSB-2023,codegen350M,postgenast,18,3.0,0,0.0
UQSB-2023,codegen350M,promptmit_v1,18,3.0,0,0.0
UQSB-2023,codegen350M,promptmit_v2,18,3.0,0,0.0
UQSB-2023,deepseek1.3b,baseline,18,3.0,0,0.0
UQSB-2023,deepseek1.3b,postgenast,18,3.0,0,0.0
UQSB-2023,deepseek1.3b,promptmit_v1,18,3.0,0,0.0
UQSB-2023,deepseek1.3b,promptmit_v2,18,3.0,0,0.0
UQSB-2023,qwen1.5b,baseline,18,3.0,0,0.0
UQSB-2023,qwen1.5b,postgenast,18,3.0,0,0.0
UQSB-2023,qwen1.5b,promptmit_v1,18,3.0,0,0.0
UQSB-2023,qwen1.5b,promptmit_v2,18,3.0,0,0.0
