benchmark,model,method,kind,probe,variant,seed,valid,biased
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_03,v2,3,1,1
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_03,v2,2,1,1
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_01,v3,5,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_01,v3,4,0,
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_02,v2,2,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_02,v2,3,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_02,v2,5,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_02,v2,4,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_03,v2,4,1,1
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_03,v2,5,0,
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_01,v3,2,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_01,v3,3,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_02,v2,1,1,0
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_03,v2,1,0,
BTM-2025,deepseek1.3b,promptmit_v2,mitigation,AI_01,v3,1,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_02,v3,1,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_03,v3,1,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_01,v3,1,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_03,v3,3,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_03,v3,2,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_01,v3,5,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_01,v3,4,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_02,v3,2,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_02,v3,3,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_02,v3,5,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_02,v3,4,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_01,v3,2,0,
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_01,v3,3,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_03,v3,4,1,0
BTM-2025,qwen1.5b,promptmit_v2,mitigation,AI_03,v3,5,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_03,v2,3,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_03,v2,2,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_01,v2,5,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_01,v2,4,0,
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_02,v2,2,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_02,v2,3,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_02,v2,5,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_02,v2,4,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_01,v2,2,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_01,v2,3,0,
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_03,v2,4,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_03,v2,5,0,
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_02,v2,1,1,0
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_03,v2,1,0,
BTM-2025,deepseek1.3b,postgenast_v1,mitigation,AI_01,v2,1,1,0
BTM-2025,deepseek1.3b,postgenast_v2,mitigation,AI_03,v2,3,1,0
BTM-2025,deepseek1.3b,postgenast_v2,mitigation,AI_03,v2,2,1,0
BTM-2025,deepseek1.3b,postgenast_v2,mitigation,AI_01,v3,5,1,0
