scheme,bias_offset,total_configs,both_pass,pass_fraction,pass_baseline,pass_promptmit_v1,pass_promptmit_v2,pass_postgenast
paper,0.0,60,24,0.4,6/15,5/15,6/15,7/15
paper bias+0.05,0.05,60,24,0.4,6/15,5/15,6/15,7/15
paper bias+0.1,0.1,60,26,0.433,6/15,6/15,7/15,7/15
paper bias-0.05,-0.05,60,22,0.367,5/15,5/15,6/15,6/15
v=0.0,0.0,60,28,0.467,6/15,6/15,7/15,9/15
v=0.3,0.0,60,25,0.417,6/15,5/15,6/15,8/15
v=0.5,0.0,60,25,0.417,6/15,5/15,6/15,8/15
v=0.6,0.0,60,24,0.4,6/15,5/15,6/15,7/15
v=0.7,0.0,60,24,0.4,6/15,5/15,6/15,7/15
v=0.8,0.0,60,23,0.383,6/15,5/15,6/15,6/15
v=0.9,0.0,60,17,0.283,4/15,4/15,5/15,4/15
