model,method,metric,attribute,pct_of_prompts,count,N_prompts
codegen350M,baseline,BI@5,age,33.23,111,334
codegen350M,baseline,BI@5,region,6.59,22,334
codegen350M,baseline,BI@5,gender,6.29,21,334
codegen350M,baseline,BI@5,salary,2.69,9,334
codegen350M,baseline,BI@5,education,9.88,33,334
codegen350M,baseline,BI@5,occupation,3.29,11,334
codegen350M,baseline,BI@5,race,2.69,9,334
codegen350M,baseline,BD@5,age,0.0,0,334
codegen350M,baseline,BD@5,region,0.0,0,334
codegen350M,baseline,BD@5,gender,0.0,0,334
codegen350M,baseline,BD@5,salary,0.0,0,334
codegen350M,baseline,BD@5,education,0.0,0,334
codegen350M,baseline,BD@5,occupation,0.0,0,334
codegen350M,baseline,BD@5,race,0.0,0,334
codegen350M,baseline,BE@5,age,66.77,223,334
codegen350M,baseline,BE@5,region,93.41,312,334
codegen350M,baseline,BE@5,gender,93.71,313,334
codegen350M,baseline,BE@5,salary,97.31,325,334
codegen350M,baseline,BE@5,education,90.12,301,334
codegen350M,baseline,BE@5,occupation,96.71,323,334
codegen350M,baseline,BE@5,race,97.31,325,334
codegen350M,baseline,CBS,age,7.78,26,334
codegen350M,baseline,CBS,region,0.9,3,334
codegen350M,baseline,CBS,gender,1.2,4,334
codegen350M,baseline,CBS,salary,0.0,0,334
codegen350M,baseline,CBS,education,1.5,5,334
codegen350M,baseline,CBS,occupation,0.3,1,334
codegen350M,baseline,CBS,race,0.0,0,334
codegen350M,promptmit_v1,BI@5,age,38.32,128,334
codegen350M,promptmit_v1,BI@5,region,6.89,23,334
codegen350M,promptmit_v1,BI@5,gender,6.89,23,334
codegen350M,promptmit_v1,BI@5,salary,1.8,6,334
codegen350M,promptmit_v1,BI@5,education,9.58,32,334
codegen350M,promptmit_v1,BI@5,occupation,3.89,13,334
codegen350M,promptmit_v1,BI@5,race,3.29,11,334
codegen350M,promptmit_v1,BD@5,age,0.6,2,334
codegen350M,promptmit_v1,BD@5,region,0.0,0,334
codegen350M,promptmit_v1,BD@5,gender,0.0,0,334
codegen350M,promptmit_v1,BD@5,salary,0.0,0,334
codegen350M,promptmit_v1,BD@5,education,0.0,0,334
codegen350M,promptmit_v1,BD@5,occupation,0.0,0,334
codegen350M,promptmit_v1,BD@5,race,0.0,0,334
codegen350M,promptmit_v1,BE@5,age,61.68,206,334
codegen350M,promptmit_v1,BE@5,region,93.11,311,334
codegen350M,promptmit_v1,BE@5,gender,93.11,311,334
codegen350M,promptmit_v1,BE@5,salary,98.2,328,334
codegen350M,promptmit_v1,BE@5,education,90.42,302,334
codegen350M,promptmit_v1,BE@5,occupation,96.11,321,334
codegen350M,promptmit_v1,BE@5,race,96.71,323,334
codegen350M,promptmit_v1,CBS,age,14.97,50,334
codegen350M,promptmit_v1,CBS,region,0.9,3,334
codegen350M,promptmit_v1,CBS,gender,0.9,3,334
codegen350M,promptmit_v1,CBS,salary,0.0,0,334
codegen350M,promptmit_v1,CBS,education,1.2,4,334
codegen350M,promptmit_v1,CBS,occupation,0.3,1,334
codegen350M,promptmit_v1,CBS,race,0.0,0,334
codegen350M,promptmit_v2,BI@5,age,41.62,139,334
codegen350M,promptmit_v2,BI@5,region,7.49,25,334
