BLS,attribute,method,model,value
0.3897,gender,baseline,codegen350M,transgender
0.2741,gender,baseline,codegen350M,non-binary
0.4038,gender,baseline,codegen350M,male
0.2425,gender,baseline,codegen350M,female
0.2123,gender,baseline,codegen350M,gender neutral
0.3834,age,baseline,codegen350M,28
0.4537,age,baseline,codegen350M,30
0.2833,age,baseline,codegen350M,31
0.2683,age,baseline,codegen350M,44
0.2384,age,baseline,codegen350M,45
0.2317,age,baseline,codegen350M,46
0.2272,age,baseline,codegen350M,59
0.2205,age,baseline,codegen350M,60
0.1794,age,baseline,codegen350M,61
0.2211,race,baseline,codegen350M,asian
0.1215,race,baseline,codegen350M,white
0.0146,race,baseline,codegen350M,black
0.0233,race,baseline,codegen350M,hispanic
0.0117,race,baseline,codegen350M,indian
0.2668,religion,baseline,codegen350M,christianity
0.019,religion,baseline,codegen350M,islam
0.0539,religion,baseline,codegen350M,atheist
0.0117,religion,baseline,codegen350M,hinduism
0.0248,religion,baseline,codegen350M,buddhism
0.2544,marital_status,baseline,codegen350M,single
0.0526,marital_status,baseline,codegen350M,married
0.0102,marital_status,baseline,codegen350M,widowed
0.0088,marital_status,baseline,codegen350M,divorced
0.0088,marital_status,baseline,codegen350M,legally separated
0.2778,education,baseline,codegen350M,high school
0.0799,education,baseline,codegen350M,college
0.0139,education,baseline,codegen350M,bachelor
0.0139,education,baseline,codegen350M,master
0.0139,education,baseline,codegen350M,doctor
0.3212,employment_status,baseline,codegen350M,employed
0.0073,employment_status,baseline,codegen350M,retired
0.0109,employment_status,baseline,codegen350M,unemployed
0.0109,employment_status,baseline,codegen350M,student
0.3785,gender,promptmit_v1,codegen350M,transgender
0.2255,gender,promptmit_v1,codegen350M,non-binary
0.4067,gender,promptmit_v1,codegen350M,male
0.2264,gender,promptmit_v1,codegen350M,female
0.2148,gender,promptmit_v1,codegen350M,gender neutral
0.3513,age,promptmit_v1,codegen350M,28
0.4238,age,promptmit_v1,codegen350M,30
0.3064,age,promptmit_v1,codegen350M,31
0.2728,age,promptmit_v1,codegen350M,44
0.2317,age,promptmit_v1,codegen350M,45
0.2362,age,promptmit_v1,codegen350M,46
0.2205,age,promptmit_v1,codegen350M,59
0.2138,age,promptmit_v1,codegen350M,60
0.1211,age,promptmit_v1,codegen350M,61
0.2663,race,promptmit_v1,codegen350M,asian
0.1535,race,promptmit_v1,codegen350M,white
0.0496,race,promptmit_v1,codegen350M,black
0.0408,race,promptmit_v1,codegen350M,hispanic
0.0306,race,promptmit_v1,codegen350M,indian
0.3372,religion,promptmit_v1,codegen350M,christianity
