CBS,CBS_theirs_all_denominator,Pass@attribute,exec_rate,executable,method,model,n,BLS@Range_age,BLS@Range_education,BLS@Range_employment_status,BLS@Range_gender,BLS@Range_marital_status,BLS@Range_race,BLS@Range_religion,CBS_age,CBS_education,CBS_employment_status,CBS_gender,CBS_marital_status,CBS_race,CBS_religion
58.72,31.1,58.11,0.5296,545,baseline,codegen350M,1029,0.27,0.26,0.31,0.19,0.25,0.21,0.26,25.87,18.9,19.27,56.33,21.83,22.39,21.1
58.65,31.29,55.26,0.5335,549,promptmit_v1,codegen350M,1029,0.3,0.35,0.33,0.19,0.3,0.24,0.3,26.41,24.59,23.13,56.1,28.05,27.69,27.32
54.38,31.39,60.28,0.5773,594,promptmit_v2,codegen350M,1029,0.18,0.2,0.27,0.25,0.18,0.15,0.2,20.03,15.49,17.34,52.36,18.52,19.87,17.68
57.11,25.36,56.7,0.4441,457,promptmit_v3,codegen350M,1029,0.24,0.26,0.28,0.21,0.2,0.17,0.21,24.95,19.91,20.57,56.02,23.19,23.85,22.54
58.55,28.96,58.39,0.4947,509,promptmit_v4,codegen350M,1029,0.23,0.25,0.25,0.19,0.21,0.2,0.23,23.77,18.27,17.88,56.58,21.22,22.0,20.43
8.55,8.55,72.23,1.0,1029,baseline,deepseek1.3b,1029,0.14,0.04,0.09,0.07,0.1,0.03,0.06,6.61,3.6,4.86,5.93,5.15,2.53,4.47
5.13,4.86,72.74,0.9466,974,promptmit_v1,deepseek1.3b,1029,0.08,0.02,0.07,0.06,0.08,0.03,0.07,3.7,2.67,3.8,4.41,3.8,1.54,3.49
30.23,28.67,63.92,0.9485,976,promptmit_v2,deepseek1.3b,1029,0.34,0.17,0.35,0.43,0.36,0.14,0.33,19.06,16.6,22.44,28.28,20.49,7.79,19.16
17.52,15.94,68.3,0.9096,936,promptmit_v3,deepseek1.3b,1029,0.15,0.09,0.19,0.17,0.23,0.09,0.17,10.15,9.29,11.11,16.35,12.82,6.09,10.9
17.19,15.45,68.12,0.8989,925,promptmit_v4,deepseek1.3b,1029,0.26,0.1,0.23,0.27,0.25,0.07,0.24,12.22,9.95,12.22,16.0,12.54,4.65,12.22
52.48,48.4,63.2,0.9223,949,baseline,qwen1.5b,1029,0.23,0.29,0.44,0.68,0.34,0.33,0.31,11.59,21.81,20.86,50.68,18.97,17.07,17.28
78.07,65.4,54.07,0.8377,862,promptmit_v1,qwen1.5b,1029,0.19,0.33,0.56,0.72,0.43,0.42,0.4,17.17,35.85,36.54,75.29,31.9,26.45,27.61
85.09,66.57,53.66,0.7823,805,promptmit_v2,qwen1.5b,1029,0.29,0.28,0.51,0.78,0.33,0.31,0.28,18.88,42.86,40.37,80.62,29.19,22.86,22.48
82.39,68.22,52.89,0.828,852,promptmit_v3,qwen1.5b,1029,0.22,0.27,0.46,0.7,0.41,0.41,0.38,20.07,35.33,36.38,80.87,33.1,28.87,25.59
82.51,63.27,51.9,0.7668,789,promptmit_v4,qwen1.5b,1029,0.22,0.27,0.54,0.71,0.39,0.44,0.36,18.25,36.12,37.52,79.85,31.94,31.94,28.14
