model,method,n,CBS_lstm,CBS_bert
codegen350M,baseline,1176,0.4583,0.2245
codegen350M,postgenast,1176,0.7840,0.2228
codegen350M,promptmit_v1,1176,0.4796,0.2389
codegen350M,promptmit_v2,1176,0.4974,0.2568
deepseek1.3b,baseline,1176,0.5910,0.6616
deepseek1.3b,postgenast,1176,0.8461,0.6573
deepseek1.3b,promptmit_v1,1176,0.6105,0.6454
deepseek1.3b,promptmit_v2,1176,0.5689,0.6633
qwen1.5b,baseline,1176,0.5706,0.5340
qwen1.5b,postgenast,1176,0.8648,0.5332
qwen1.5b,promptmit_v1,1176,0.5740,0.5629
qwen1.5b,promptmit_v2,1176,0.6071,0.6037
