scheme,bias_offset,total_configs,both_pass,pass_fraction,pass_baseline,pass_promptmit_v1,pass_promptmit_v2,pass_postgenast
paper,0.0,60,1,0.017,0/15,0/15,0/15,1/15
paper bias+0.05,0.05,60,5,0.083,1/15,1/15,1/15,2/15
paper bias+0.1,0.1,60,5,0.083,1/15,1/15,1/15,2/15
paper bias-0.05,-0.05,60,1,0.017,0/15,0/15,0/15,1/15
v=0.0,0.0,60,9,0.15,1/15,1/15,1/15,6/15
v=0.3,0.0,60,4,0.067,0/15,0/15,0/15,4/15
v=0.5,0.0,60,2,0.033,0/15,0/15,0/15,2/15
v=0.6,0.0,60,1,0.017,0/15,0/15,0/15,1/15
v=0.7,0.0,60,0,0.0,0/15,0/15,0/15,0/15
v=0.8,0.0,60,0,0.0,0/15,0/15,0/15,0/15
v=0.9,0.0,60,0,0.0,0/15,0/15,0/15,0/15
